Request Id,request_e2e_time,request_e2e_time_normalized,request_execution_time,request_execution_time_normalized,request_model_execution_time,request_model_execution_time_normalized,request_preemption_time,request_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,prefill_e2e_time,prefill_e2e_time_normalized,prefill_time_execution_plus_preemption,prefill_time_execution_plus_preemption_normalized,decode_time_execution_plus_preemption_normalized,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_prefill_tokens_cached,request_num_decode_tokens,request_pd_ratio,request_num_restarts,request_arrived_at,replica
46,7.508285,0.010399,7.508285,0.010399,7.508285,0.010399,0.000000,0.000000,7.508285,0.010399,0.099825,0.000072,0.099825,0.000072,0.010261,0.000000,2105,1383,512,722,1.915512,0,57.000000,1
47,4.722747,0.010518,4.719883,0.010512,4.719883,0.010512,0.000000,0.002864,4.719883,0.010512,0.030615,0.000034,0.027751,0.000031,0.010450,3.000000,1342,893,512,449,1.988864,0,60.000000,1
48,3.935832,0.010963,3.926816,0.010938,3.926816,0.010938,0.000000,0.009016,3.926816,0.010938,0.192541,0.000071,0.183524,0.000068,0.010427,9.000000,3076,2717,512,359,7.568245,0,60.000000,3
49,1.305839,0.009818,1.305839,0.009818,1.305839,0.009818,0.000000,0.000000,1.305839,0.009818,0.026946,0.000030,0.026946,0.000030,0.009616,6.000000,1028,895,512,133,6.729323,0,63.000000,0
50,5.288629,0.010309,5.288629,0.010309,5.288629,0.010309,0.000000,0.000000,5.288629,0.010309,0.077081,0.000050,0.077081,0.000050,0.010159,2.999000,2042,1529,512,513,2.980507,0,65.999000,0
51,4.189578,0.009812,4.189578,0.009812,4.189578,0.009812,0.000000,0.000000,4.189578,0.009812,0.036076,0.000037,0.036076,0.000037,0.009727,8.999000,1406,979,512,427,2.292740,0,65.999000,2
52,4.995020,0.010385,4.995020,0.010385,4.995020,0.010385,0.000000,0.000000,4.995020,0.010385,0.048795,0.000045,0.048795,0.000045,0.010283,5.999000,1554,1073,512,481,2.230769,0,65.999000,1
53,3.361612,0.010065,3.361612,0.010065,3.361612,0.010065,0.000000,0.000000,3.361612,0.010065,0.039072,0.000044,0.039072,0.000044,0.009948,9.000000,1227,893,512,334,2.673653,0,69.000000,3
54,1.296109,0.010801,1.296109,0.010801,1.296109,0.010801,0.000000,0.000000,1.296109,0.010801,0.089147,0.000076,0.089147,0.000076,0.010058,0.000000,1296,1176,512,120,9.800000,0,69.000000,3
55,1.416096,0.011063,1.413926,0.011046,1.413926,0.011046,0.000000,0.002171,1.413926,0.011046,0.067868,0.000051,0.065698,0.000049,0.010533,3.001000,1469,1341,512,128,10.476562,0,69.000000,0
56,5.417688,0.010665,5.413305,0.010656,5.413305,0.010656,0.000000,0.004383,5.413305,0.010656,0.136363,0.000065,0.131981,0.000063,0.010396,3.001000,2611,2103,512,508,4.139764,0,69.000000,1
57,6.026949,0.010427,6.026949,0.010427,6.026949,0.010427,0.000000,0.000000,6.026949,0.010427,0.090608,0.000056,0.090608,0.000056,0.010270,3.000000,2203,1625,512,578,2.811419,0,72.000000,0
58,3.926018,0.011028,3.926018,0.011028,3.926018,0.011028,0.000000,0.000000,3.926018,0.011028,0.078413,0.000051,0.078413,0.000051,0.010808,6.001000,1891,1535,512,356,4.311798,0,72.000000,2
59,6.197274,0.010703,6.159266,0.010638,6.159266,0.010638,0.000000,0.038008,6.159266,0.010638,0.169083,0.000107,0.131075,0.000083,0.010411,0.000000,2156,1577,512,579,2.723661,0,72.000000,2
60,2.801827,0.009797,2.801827,0.009797,2.801827,0.009797,0.000000,0.000000,2.801827,0.009797,0.032377,0.000036,0.032377,0.000036,0.009683,5.999000,1184,898,512,286,3.139860,0,74.999000,1
61,4.426659,0.009793,4.426659,0.009793,4.426659,0.009793,0.000000,0.000000,4.426659,0.009793,0.035086,0.000038,0.035086,0.000038,0.009716,5.999000,1373,921,512,452,2.037611,0,74.999000,3
62,6.501072,0.010206,6.492356,0.010192,6.492356,0.010192,0.000000,0.008716,6.492356,0.010192,0.046154,0.000048,0.037438,0.000039,0.010133,2.999000,1602,965,512,637,1.514914,0,74.999000,0
63,4.790833,0.009981,4.790833,0.009981,4.790833,0.009981,0.000000,0.000000,4.790833,0.009981,0.064711,0.000048,0.064711,0.000048,0.009846,9.000000,1842,1362,512,480,2.837500,0,81.000000,2
64,5.749129,0.010140,5.749129,0.010140,5.749129,0.010140,0.000000,0.000000,5.749129,0.010140,0.091086,0.000056,0.091086,0.000056,0.009979,6.001000,2208,1641,512,567,2.894180,0,81.000000,3
65,0.522811,0.018672,0.522811,0.018672,0.522811,0.018672,0.000000,0.000000,0.522811,0.018672,0.039072,0.000043,0.039072,0.000043,0.017276,6.001000,934,906,512,28,32.357143,0,81.000000,1
66,3.531142,0.011770,3.531142,0.011770,3.531142,0.011770,0.000000,0.000000,3.531142,0.011770,0.302163,0.000081,0.302163,0.000081,0.010763,0.000000,4009,3709,512,300,12.363333,0,81.000000,1
67,4.303518,0.010078,4.303518,0.010078,4.303518,0.010078,0.000000,0.000000,4.303518,0.010078,0.064714,0.000047,0.064714,0.000047,0.009927,9.001000,1799,1372,512,427,3.213115,0,84.000000,0
68,0.966572,0.012392,0.966572,0.012392,0.966572,0.012392,0.000000,0.000000,0.966572,0.012392,0.039072,0.000044,0.039072,0.000044,0.011891,5.999000,970,892,512,78,11.435897,0,86.999000,1
69,2.047825,0.011190,2.047825,0.011190,2.047825,0.011190,0.000000,0.000000,2.047825,0.011190,0.078413,0.000076,0.078413,0.000076,0.010762,5.999000,1218,1035,512,183,5.655738,0,86.999000,3
70,1.299256,0.011705,1.299256,0.011705,1.299256,0.011705,0.000000,0.000000,1.299256,0.011705,0.075732,0.000058,0.075732,0.000058,0.011023,5.999000,1420,1309,512,111,11.792793,0,86.999000,2
71,5.916649,0.010777,5.916649,0.010777,5.916649,0.010777,0.000000,0.000000,5.916649,0.010777,0.187654,0.000074,0.187654,0.000074,0.010435,0.000000,3069,2520,512,549,4.590164,0,86.999000,1
72,4.534692,0.010521,4.496684,0.010433,4.496684,0.010433,0.000000,0.038008,4.496684,0.010433,0.155518,0.000089,0.117510,0.000067,0.010160,0.000000,2188,1757,512,431,4.076566,0,86.999000,2
73,0.324820,0.011601,0.315214,0.011258,0.315214,0.011258,0.000000,0.009606,0.315214,0.011258,0.045051,0.000050,0.035445,0.000039,0.009992,2.999000,934,906,512,28,32.357143,0,86.999000,0
74,3.371928,0.010807,3.333920,0.010686,3.333920,0.010686,0.000000,0.038008,3.333920,0.010686,0.146555,0.000078,0.108547,0.000058,0.010338,0.000000,2199,1887,512,312,6.048077,0,86.999000,3
75,6.729783,0.010290,6.729783,0.010290,6.729783,0.010290,0.000000,0.000000,6.729783,0.010290,0.104859,0.000055,0.104859,0.000055,0.010130,3.001000,2556,1902,512,654,2.908257,0,90.000000,0
76,1.680696,0.009829,1.680696,0.009829,1.680696,0.009829,0.000000,0.000000,1.680696,0.009829,0.032377,0.000036,0.032377,0.000036,0.009639,6.001000,1074,903,512,171,5.280702,0,93.000000,2
77,4.520961,0.010894,4.520961,0.010894,4.520961,0.010894,0.000000,0.000000,4.520961,0.010894,0.181735,0.000065,0.181735,0.000065,0.010456,6.001000,3202,2787,512,415,6.715663,0,93.000000,3
78,0.932884,0.009924,0.932884,0.009924,0.932884,0.009924,0.000000,0.000000,0.932884,0.009924,0.032377,0.000036,0.032377,0.000036,0.009580,2.999000,991,897,512,94,9.542553,0,95.999000,2
79,4.267298,0.010722,4.267298,0.010722,4.267298,0.010722,0.000000,0.000000,4.267298,0.010722,0.056154,0.000018,0.056154,0.000018,0.010581,9.000000,3540,3142,2560,398,7.894472,0,95.999000,1
80,4.167239,0.009969,4.167239,0.009969,4.167239,0.009969,0.000000,0.000000,4.167239,0.009969,0.032377,0.000036,0.032377,0.000036,0.009892,6.000000,1317,899,512,418,2.150718,0,99.000000,3
81,7.328920,0.010890,7.328920,0.010890,7.328920,0.010890,0.000000,0.000000,7.328920,0.010890,0.199464,0.000066,0.199464,0.000066,0.010594,9.000000,3698,3025,512,673,4.494799,0,99.000000,0
82,2.698916,0.009814,2.698916,0.009814,2.698916,0.009814,0.000000,0.000000,2.698916,0.009814,0.035407,0.000039,0.035407,0.000039,0.009685,3.001000,1189,914,512,275,3.323636,0,99.000000,2
83,0.068032,0.022677,0.068032,0.022677,0.068032,0.022677,0.000000,0.000000,0.068032,0.022677,0.048606,0.000046,0.048606,0.000046,0.006475,6.001000,1059,1056,512,3,352.000000,0,102.000000,1
84,6.833869,0.011076,6.833869,0.011076,6.833869,0.011076,0.000000,0.000000,6.833869,0.011076,0.229722,0.000068,0.229722,0.000068,0.010704,3.000000,3995,3378,512,617,5.474878,0,102.000000,2
85,1.450135,0.010358,1.443128,0.010308,1.443128,0.010308,0.000000,0.007007,1.443128,0.010308,0.043782,0.000045,0.036775,0.000038,0.010045,3.000000,1119,979,512,140,6.992857,0,102.000000,3
86,0.962659,0.010351,0.962659,0.010351,0.962659,0.010351,0.000000,0.000000,0.962659,0.010351,0.053676,0.000032,0.053676,0.000032,0.009774,9.000000,1754,1661,1024,93,17.860215,0,108.000000,0
87,0.469794,0.011458,0.469794,0.011458,0.469794,0.011458,0.000000,0.000000,0.469794,0.011458,0.075685,0.000051,0.075685,0.000051,0.009612,9.000000,1520,1479,512,41,36.073171,0,111.000000,1
88,0.623169,0.010386,0.623169,0.010386,0.623169,0.010386,0.000000,0.000000,0.623169,0.010386,0.048798,0.000046,0.048798,0.000046,0.009573,9.000000,1120,1060,512,60,17.666667,0,111.000000,3
89,1.962716,0.009814,1.962716,0.009814,1.962716,0.009814,0.000000,0.000000,1.962716,0.009814,0.032377,0.000036,0.032377,0.000036,0.009652,15.000000,1100,900,512,200,4.500000,0,117.000000,2
90,3.811761,0.009926,3.811761,0.009926,3.811761,0.009926,0.000000,0.000000,3.811761,0.009926,0.056166,0.000046,0.056166,0.000046,0.009780,6.000000,1600,1216,512,384,3.166667,0,117.000000,1
91,4.196737,0.010311,4.196737,0.010311,4.196737,0.010311,0.000000,0.000000,4.196737,0.010311,0.104317,0.000055,0.104317,0.000055,0.010055,9.000000,2295,1888,512,407,4.638821,0,117.000000,0
92,0.949695,0.010552,0.949695,0.010552,0.949695,0.010552,0.000000,0.000000,0.949695,0.010552,0.074241,0.000052,0.074241,0.000052,0.009727,6.000000,1524,1434,512,90,15.933333,0,117.000000,3
93,0.454678,0.028417,0.454678,0.028417,0.454678,0.028417,0.000000,0.000000,0.454678,0.028417,0.285409,0.000075,0.285409,0.000075,0.010579,3.000000,3824,3808,512,16,238.000000,0,120.000000,3
94,3.571107,0.010232,3.571107,0.010232,3.571107,0.010232,0.000000,0.000000,3.571107,0.010232,0.039072,0.000044,0.039072,0.000044,0.010120,3.000000,1243,894,512,349,2.561605,0,120.000000,2
95,3.629599,0.010253,3.629599,0.010253,3.629599,0.010253,0.000000,0.000000,3.629599,0.010253,0.060411,0.000067,0.060411,0.000067,0.010082,0.000000,1250,896,512,354,2.531073,0,120.000000,2
96,3.234916,0.010747,2.989781,0.009933,2.989781,0.009933,0.000000,0.245135,2.989781,0.009933,0.300224,0.000335,0.055089,0.000062,0.009750,0.000000,1196,895,512,301,2.973422,0,120.000000,3
