cdf,request_scheduling_delay,replica
0.89,0.0018880158851304766,1
0.9,0.002697165550186398,1
0.91,0.0027471184247405134,1
0.92,0.0027970712992946294,1
0.93,0.002847024173848745,1
0.9400000000000001,0.002979463493369394,1
0.9500000000000001,0.003153146035373311,1
0.96,0.003326828577377226,1
0.97,0.0035366259741437013,1
0.98,0.0038186530804352956,1
0.99,0.00410068018672689,1
1.0,0.004382707293018484,1
0.0,0.0,2
0.01,0.0,2
0.02,0.0,2
0.03,0.0,2
0.04,0.0,2
0.05,0.0,2
0.06,0.0,2
0.07,0.0,2
0.08,0.0,2
0.09,0.0,2
0.1,0.0,2
0.11,0.0,2
0.12,0.0,2
0.13,0.0,2
0.14,0.0,2
0.15,0.0,2
0.16,0.0,2
0.17,0.0,2
0.18,0.0,2
0.19,0.0,2
0.2,0.0,2
0.21,0.0,2
0.22,0.0,2
0.23,0.0,2
0.24,0.0,2
0.25,0.0,2
0.26,0.0,2
0.27,0.0,2
0.28,0.0,2
0.29,0.0,2
0.3,0.0,2
0.31,0.0,2
0.32,0.0,2
0.33,0.0,2
0.34,0.0,2
0.35000000000000003,0.0,2
0.36,0.0,2
0.37,0.0,2
0.38,0.0,2
0.39,0.0,2
0.4,0.0,2
0.41000000000000003,0.0,2
0.42,0.0,2
0.43,0.0,2
0.44,0.0,2
0.45,0.0,2
0.46,0.0,2
0.47000000000000003,0.0,2
0.48,0.0,2
0.49,0.0,2
0.5,0.0,2
0.51,0.0,2
0.52,0.0,2
0.53,0.0,2
0.54,0.0,2
0.55,0.0,2
0.56,0.0,2
0.5700000000000001,0.0,2
0.58,0.0,2
0.59,0.0,2
0.6,0.0,2
0.61,0.0,2
0.62,0.0,2
0.63,0.0,2
0.64,0.0,2
0.65,0.0,2
0.66,0.0,2
0.67,0.0,2
0.68,0.0,2
0.6900000000000001,0.0,2
0.7000000000000001,0.0,2
0.71,0.0,2
0.72,0.0,2
0.73,0.0,2
0.74,0.0,2
0.75,0.0,2
0.76,0.0,2
0.77,0.0,2
0.78,0.00038907720755503397,2
0.79,0.000843000616369241,2
0.8,0.0012969240251834435,2
0.81,0.004113169614965717,2
0.8200000000000001,0.006929415204747963,2
0.8300000000000001,0.010776578527387766,2
0.84,0.02080924824717339,2
0.85,0.03084191796695901,2
0.86,0.03800811062394871,2
0.87,0.03800811062394871,2
0.88,0.03800811062394871,2
0.89,0.03800811062394978,2
0.9,0.03800811062395226,2
0.91,0.03800811062395475,2
0.92,0.03800811062395724,2
0.93,0.03800811062395972,2
0.9400000000000001,0.03800811062396221,2
0.9500000000000001,0.04777645568947264,2
0.96,0.061452138781186307,2
0.97,0.0751278218728997,2
0.98,0.10160744526037296,2
0.99,0.1302210586971397,2
1.0,0.15883467213390645,2
0.0,0.0,3
0.01,0.0,3
0.02,0.0,3
0.03,0.0,3
0.04,0.0,3
0.05,0.0,3
0.06,0.0,3
0.07,0.0,3
0.08,0.0,3
0.09,0.0,3
0.1,0.0,3
0.11,0.0,3
0.12,0.0,3
0.13,0.0,3
0.14,0.0,3
0.15,0.0,3
0.16,0.0,3
0.17,0.0,3
0.18,0.0,3
0.19,0.0,3
0.2,0.0,3
0.21,0.0,3
0.22,0.0,3
0.23,0.0,3
0.24,0.0,3
0.25,0.0,3
0.26,0.0,3
0.27,0.0,3
0.28,0.0,3
0.29,0.0,3
0.3,0.0,3
0.31,0.0,3
0.32,0.0,3
0.33,0.0,3
0.34,0.0,3
0.35000000000000003,0.0,3
0.36,0.0,3
0.37,0.0,3
0.38,0.0,3
0.39,0.0,3
0.4,0.0,3
0.41000000000000003,0.0,3
0.42,0.0,3
0.43,0.0,3
0.44,0.0,3
0.45,0.0,3
0.46,0.0,3
0.47000000000000003,0.0,3
0.48,0.0,3
0.49,0.0,3
0.5,0.0,3
0.51,0.0,3
0.52,0.0,3
0.53,0.0,3
0.54,0.0,3
0.55,0.0,3
0.56,0.0,3
0.5700000000000001,0.0,3
0.58,0.0,3
0.59,0.0,3
0.6,0.0,3
0.61,0.0,3
0.62,0.0,3
0.63,0.0,3
0.64,0.0,3
0.65,0.0,3
0.66,0.0,3
0.67,0.0,3
0.68,0.0,3
0.6900000000000001,0.0,3
0.7000000000000001,0.0,3
0.71,0.0,3
0.72,3.9485830587864294e-05,3
0.73,0.00010858603411662614,3
0.74,0.00017768623764538886,3
0.75,0.0002467864411741516,3
0.76,0.0008955309615427636,3
0.77,0.0015442754819113755,3
0.78,0.002193020002279979,3
0.79,0.0027145225774958715,3
0.8,0.0030663692258414725,3
0.81,0.003418215874187069,3
0.8200000000000001,0.0037700625225326654,3
0.8300000000000001,0.0043578727513224145,3
0.84,0.004985010243519525,3
0.85,0.005612147735716634,3
0.86,0.006135847289855574,3
0.87,0.006400951998849109,3
0.88,0.006666056707842643,3
0.89,0.0069311614168361775,3
0.9,0.00740878172430257,3
0.91,0.007971408271158113,3
0.92,0.008534034818013654,3
0.93,0.010175959123092262,3
0.9400000000000001,0.018293669977508677,3
0.9500000000000001,0.026411380831925096,3
0.96,0.03452909168634161,3
0.97,0.07114842146520974,3
0.98,0.12914396543741596,3
0.99,0.18713950940962296,3
1.0,0.24513505338182995,3
