cdf,prefill_e2e_time,replica
0.21,0.038904300848144543,3
0.22,0.03982545626252886,3
0.23,0.04114429833003556,3
0.24,0.042463140397542246,3
0.25,0.04378198246504894,3
0.26,0.04518651752239066,3
0.27,0.04659105257973238,3
0.28,0.0479955876370741,3
0.29,0.04987273725709655,3
0.3,0.05238003962736002,3
0.31,0.054887341997623476,3
0.32,0.057394644367886945,3
0.33,0.06121393486019233,3
0.34,0.06525189003950473,3
0.35000000000000003,0.06928984521881708,3
0.36,0.0723394194740076,3
0.37,0.07291804141889344,3
0.38,0.07349666336377927,3
0.39,0.07407528530866511,3
0.4,0.07452949032946599,3
0.41000000000000003,0.07493392858063287,3
0.42,0.07533836683179977,3
0.43,0.0757941402322615,3
0.44,0.0765579245284922,3
0.45,0.07732170882472289,3
0.46,0.07808549312095359,3
0.47000000000000003,0.08013037651046091,3
0.48,0.08313608421992569,3
0.49,0.08614179192939046,3
0.5,0.08914749963885527,3
0.51,0.08969020539126916,3
0.52,0.09023291114368305,3
0.53,0.09077561689609695,3
0.54,0.09200537228186705,3
0.55,0.0941511938454454,3
0.56,0.09629701540902376,3
0.5700000000000001,0.0984428369726021,3
0.58,0.11014390581463367,3
0.59,0.12343751586974092,3
0.6,0.13673112592484815,3
0.61,0.14625284271367064,3
0.62,0.14634482633678148,3
0.63,0.14643680995989228,3
0.64,0.1465287935830031,3
0.65,0.14814688359113787,3
0.66,0.15037541615328223,3
0.67,0.1526039487154266,3
0.68,0.15462180555697047,3
0.6900000000000001,0.15537560807491146,3
0.7000000000000001,0.15612941059285249,3
0.71,0.15688321311079348,3
0.72,0.1572062713327682,3
0.73,0.1572062713327682,3
0.74,0.1572062713327682,3
0.75,0.1572062713327682,3
0.76,0.16407440836388051,3
0.77,0.17094254539499282,3
0.78,0.177810682426105,3
0.79,0.18303195378600975,3
0.8,0.18605740425097111,3
0.81,0.18908285471593245,3
0.8200000000000001,0.19210830518089378,3
0.8300000000000001,0.19407988572975313,3
0.84,0.19587582129259545,3
0.85,0.19767175685543778,3
0.86,0.19925240198038124,3
0.87,0.20029482101057766,3
0.88,0.20133724004077408,3
0.89,0.2023796590709705,3
0.9,0.2135723078863577,3
0.91,0.22882504861582137,3
0.92,0.244077789345285,3
0.93,0.258281875469092,3
0.9400000000000001,0.2661940339589592,3
0.9500000000000001,0.27410619244882634,3
0.96,0.2820183509386936,3
0.97,0.28777964306742604,3
0.98,0.2919277854253073,3
0.99,0.2960759277831886,3
1.0,0.3002240701410699,3
