cdf,decode_time_execution_plus_preemption_normalized,replica
0.54,0.010352658958274141,1
0.55,0.010366837198513532,1
0.56,0.010381015438752923,1
0.5700000000000001,0.010391051578259784,1
0.58,0.010392803516301584,1
0.59,0.010394555454343386,1
0.6,0.010396307392385186,1
0.61,0.010399475290998824,1
0.62,0.010402643189612462,1
0.63,0.010405811088226101,1
0.64,0.010407879343452437,1
0.65,0.010409397776985121,1
0.66,0.010410916210517806,1
0.67,0.010414268452881936,1
0.68,0.010421288312908958,1
0.6900000000000001,0.01042830817293598,1
0.7000000000000001,0.010435328032963003,1
0.71,0.01043978450903381,1
0.72,0.010444240985104618,1
0.73,0.010448697461175424,1
0.74,0.01046227910835914,1
0.75,0.010480423341099313,1
0.76,0.010498567573839485,1
0.77,0.01051767359663832,1
0.78,0.010538703199554482,1
0.79,0.010559732802470646,1
0.8,0.010580762405386808,1
0.81,0.010589053047223334,1
0.8200000000000001,0.01059734368905986,1
0.8300000000000001,0.010605634330896386,1
0.84,0.010617200334197765,1
0.85,0.010630404018231572,1
0.86,0.01064360770226538,1
0.87,0.010663495535706417,1
0.88,0.01069675166796191,1
0.89,0.010730007800217406,1
0.9,0.0107632639324729,1
0.91,0.011033087973391491,1
0.92,0.011302912014310083,1
0.93,0.011572736055228674,1
0.9400000000000001,0.011708346851444893,1
0.9500000000000001,0.011776851025309931,1
0.96,0.011845355199174967,1
0.97,0.012429561775451249,1
0.98,0.014045173156550054,1
0.99,0.01566078453764886,1
1.0,0.017276395918747665,1
0.0,0.009339455693366463,2
0.01,0.0093481080333517,2
0.02,0.009356760373336936,2
0.03,0.00936420869172773,2
0.04,0.009364432880551854,2
0.05,0.00936465706937598,2
0.06,0.009374334563317523,2
0.07,0.0094076453200526,2
0.08,0.009440956076787677,2
0.09,0.00947151400265308,2
0.1,0.009498401487358915,2
0.11,0.009525288972064751,2
0.12,0.009541195529634705,2
0.13,0.00954886639185275,2
0.14,0.009556537254070793,2
0.15,0.009564012214461817,2
0.16,0.00957140881412203,2
0.17,0.009578805413782244,2
0.18,0.009597691615556484,2
0.19,0.009618492751016398,2
0.2,0.00963929388647631,2
0.21,0.009643634945233391,2
0.22,0.009647976003990472,2
0.23,0.009653148656797778,2
0.24,0.009663310873906423,2
0.25,0.009673473091015069,2
0.26,0.009680973731305156,2
0.27,0.00968182042954885,2
0.28,0.009682667127792543,2
0.29,0.009683501857355305,2
0.3,0.009684320628676826,2
0.31,0.009685139399998346,2
0.32,0.009690417736176394,2
0.33,0.009699040745996841,2
0.34,0.009707663755817287,2
0.35000000000000003,0.009711308963511304,2
0.36,0.009712963050354751,2
0.37,0.009714617137198197,2
0.38,0.009717599148294323,2
0.39,0.00972080248009923,2
0.4,0.009724005811904135,2
0.41000000000000003,0.009725112981881862,2
0.42,0.009726220151859586,2
0.43,0.009728519190381335,2
0.44,0.009737969440167221,2
0.45,0.009747419689953109,2
0.46,0.009763361658244629,2
0.47000000000000003,0.009795532922800236,2
0.48,0.009827704187355844,2
0.49,0.009846105267168703,2
0.5,0.009846146100657902,2
