cdf,request_execution_plus_preemption_time_normalized,replica
1.0,0.022677286299359906,1
0.0,0.009793979385606931,2
0.01,0.009795400270172124,2
0.02,0.009796821154737317,2
0.03,0.009798719959744528,2
0.04,0.009803486287403842,2
0.05,0.009808252615063157,2
0.06,0.009811849511368778,2
0.07,0.009812522829290163,2
0.08,0.009813196147211548,2
0.09,0.009813680016904563,2
0.1,0.009813911288959754,2
0.11,0.009814142561014942,2
0.12,0.009814745516778644,2
0.13,0.00981562723532373,2
0.14,0.009816508953868817,2
0.15,0.009819728626361721,2
0.16,0.009823883480433752,2
0.17,0.009828038334505783,2
0.18,0.009851651777014803,2
0.19,0.009878508317596653,2
0.2,0.009905364858178504,2
0.21,0.009911990789186363,2
0.22,0.009918616720194224,2
0.23,0.00992450925677058,2
0.24,0.009926001426757921,2
0.25,0.00992749359674526,2
0.26,0.009933793735443652,2
0.27,0.009952113795919672,2
0.28,0.009970433856395695,2
0.29,0.009981901340595197,2
0.3,0.009984232056426012,2
0.31,0.009986562772256827,2
0.32,0.009991831119172257,2
0.33,0.009999302689401149,2
0.34,0.010006774259630041,2
0.35000000000000003,0.010038072289394202,2
0.36,0.01007890090297247,2
0.37,0.010119729516550735,2
0.38,0.010157613219198966,2
0.39,0.010195006103358856,2
0.4,0.010232398987518746,2
0.41000000000000003,0.010239646131603927,2
0.42,0.01024689327568911,2
0.43,0.010255160388631243,2
0.44,0.010269547314715074,2
0.45,0.010283934240798907,2
0.46,0.010297229877945584,2
0.47000000000000003,0.010307797292749376,2
0.48,0.010318364707553169,2
0.49,0.010325355384322749,2
0.5,0.010327577077046714,2
0.51,0.010329798769770679,2
0.52,0.010344702331676708,2
0.53,0.010369117295469289,2
0.54,0.010393532259261868,2
0.55,0.010408666466956483,2
0.56,0.010420088372211912,2
0.5700000000000001,0.01043151027746734,2
0.58,0.010463806624805014,2
0.59,0.010499582045823061,2
0.6,0.01053535746684111,2
0.61,0.010571200274298672,2
0.62,0.010607043081756234,2
0.63,0.01064550535158657,2
0.64,0.01069968439565355,2
0.65,0.010753863439720531,2
0.66,0.010806017213224953,2
0.67,0.010853107810322978,2
0.68,0.010900198407421001,2
0.6900000000000001,0.010942262229102873,2
0.7000000000000001,0.010977623683563205,2
0.71,0.011012985138023538,2
0.72,0.011037704537189713,2
0.73,0.011054442394885268,2
0.74,0.011071180252580822,2
0.75,0.01109555642719918,2
0.76,0.011122987928586656,2
0.77,0.011150419429974134,2
0.78,0.011159489546246503,2
0.79,0.011165499431666354,2
0.8,0.011171509317086204,2
0.81,0.011257219227958713,2
0.8200000000000001,0.011342929138831222,2
0.8300000000000001,0.011428945769691338,2
0.84,0.0115168027204771,2
0.85,0.011604659671262863,2
0.86,0.011671174168872488,2
0.87,0.011684332533541774,2
0.88,0.011697490898211059,2
0.89,0.01173023964032719,2
0.9,0.011789108885705783,2
0.91,0.011847978131084376,2
0.92,0.01202317478235062,2
0.93,0.0122856169880326,2
0.9400000000000001,0.012548059193714572,2
0.9500000000000001,0.014802014260757024,2
0.96,0.017852574472343678,2
0.97,0.020903134683930267,2
0.98,0.028067052339243816,2
0.99,0.03591652956851191,2
1.0,0.043766006797780005,2
0.0,0.009768156305082501,3
0.01,0.009775250831612126,3
0.02,0.009782345358141752,3
0.03,0.009789439884671377,3
0.04,0.009806828904410791,3
0.05,0.00983794391509659,3
0.06,0.00986905892578239,3
0.07,0.00990017393646819,3
0.08,0.009911388808628492,3
0.09,0.009919286991034544,3
0.1,0.009927185173440597,3
0.11,0.009935758311189,3
0.12,0.009946018837293276,3
0.13,0.00995627936339755,3
0.14,0.009966539889501826,3
