cdf,request_execution_time,replica
0.81,5.105731086935055,3
0.8200000000000001,5.189498628509479,3
0.8300000000000001,5.274950897128268,3
0.84,5.360683953587786,3
0.85,5.446417010047304,3
0.86,5.526972816395219,3
0.87,5.594585497464132,3
0.88,5.662198178533045,3
0.89,5.729810859601958,3
0.9,5.772813879293771,3
0.91,5.8059730344347455,3
0.92,5.83913218957572,3
0.93,5.884717165456508,3
0.9400000000000001,6.004857065776172,3
0.9500000000000001,6.1249969660958365,3
0.96,6.2451368664155025,3
0.97,6.768174035210784,3
0.98,7.593384155362768,3
0.99,8.418594275514764,3
1.0,9.243804395666759,3
