cdf,prefill_e2e_time_normalized,replica
0.55,5.5811900978628955e-05,2
0.56,5.676527668874457e-05,2
0.5700000000000001,5.771865239886018e-05,2
0.58,5.791456388402921e-05,2
0.59,5.7984231331707146e-05,2
0.6,5.805389877938508e-05,2
0.61,5.843246402630934e-05,2
0.62,5.88110292732336e-05,2
0.63,5.924729550702338e-05,2
0.64,6.0029767662006266e-05,2
0.65,6.081223981698914e-05,2
0.66,6.138828413957476e-05,2
0.67,6.144825888116723e-05,2
0.68,6.15082336227597e-05,2
0.6900000000000001,6.242454397833762e-05,2
0.7000000000000001,6.448263515256285e-05,2
0.71,6.654072632678806e-05,2
0.72,6.753925990219569e-05,2
0.73,6.774312527849012e-05,2
0.74,6.794699065478454e-05,2
0.75,6.819794149280501e-05,2
0.76,6.846772651551589e-05,2
0.77,6.873751153822678e-05,2
0.78,6.982215437623423e-05,2
0.79,7.104260685012445e-05,2
0.8,7.226305932401465e-05,2
0.81,7.534766623196876e-05,2
0.8200000000000001,7.843227313992283e-05,2
0.8300000000000001,8.119496499263897e-05,2
0.84,8.202616651392743e-05,2
0.85,8.285736803521588e-05,2
0.86,8.3711851985163e-05,2
0.87,8.462454200675681e-05,2
0.88,8.553723202835063e-05,2
0.89,8.642694821373953e-05,2
0.9,8.728603261752189e-05,2
0.91,8.814511702130424e-05,2
0.92,9.225424155887008e-05,2
0.93,9.880089619677344e-05,2
0.9400000000000001,0.00010534755083467668,2
0.9500000000000001,0.00011616503351576701,2
0.96,0.00012869084741413215,2
0.97,0.00014121666131249706,2
0.98,0.00015065293818677955,2
0.99,0.0001595742922237149,2
1.0,0.00016849564626065022,2
0.0,3.014049235855204e-05,3
0.01,3.178514045319006e-05,3
0.02,3.342978854782808e-05,3
0.03,3.5074436642466104e-05,3
0.04,3.6263987566125395e-05,3
0.05,3.684674226181304e-05,3
0.06,3.742949695750069e-05,3
0.07,3.8012251653188334e-05,3
0.08,3.8118444568170386e-05,3
0.09,3.8145210519701506e-05,3
0.1,3.8171976471232625e-05,3
0.11,3.8368468656260375e-05,3
0.12,3.8989276425029705e-05,3
0.13,3.9610084193799036e-05,3
0.14,4.023089196256837e-05,3
0.15,4.071764532282759e-05,3
0.16,4.1150776919682774e-05,3
0.17,4.158390851653795e-05,3
0.18,4.202709566568912e-05,3
0.19,4.253061612861617e-05,3
0.2,4.303413659154322e-05,3
0.21,4.3537657054470274e-05,3
0.22,4.3908279470557726e-05,3
0.23,4.4179228351515484e-05,3
0.24,4.4450177232473234e-05,3
0.25,4.472112611343099e-05,3
0.26,4.508929584653392e-05,3
0.27,4.5457465579636844e-05,3
0.28,4.5825635312739776e-05,3
0.29,4.637492737008579e-05,3
0.3,4.716571585975593e-05,3
0.31,4.795650434942606e-05,3
0.32,4.8747292839096206e-05,3
0.33,4.943197614457146e-05,3
0.34,5.009897525268091e-05,3
0.35000000000000003,5.0765974360790354e-05,3
0.36,5.128474544567562e-05,3
0.37,5.143294647250042e-05,3
0.38,5.158114749932522e-05,3
0.39,5.1729348526150024e-05,3
0.4,5.251860068672467e-05,3
0.41000000000000003,5.356427330079925e-05,3
0.42,5.4609945914873846e-05,3
0.43,5.552647240613607e-05,3
0.44,5.566812216052414e-05,3
0.45,5.58097719149122e-05,3
0.46,5.5951421669300266e-05,3
0.47000000000000003,5.668620535784439e-05,3
0.48,5.786583949700556e-05,3
0.49,5.904547363616672e-05,3
0.5,6.0225107775327894e-05,3
0.51,6.072608389929135e-05,3
0.52,6.12270600232548e-05,3
0.53,6.172803614721826e-05,3
0.54,6.202018403091371e-05,3
0.55,6.20338942609185e-05,3
0.56,6.204760449092327e-05,3
0.5700000000000001,6.206131472092806e-05,3
0.58,6.281806250935192e-05,3
0.59,6.369864989084566e-05,3
0.6,6.457923727233938e-05,3
0.61,6.525162512972642e-05,3
0.62,6.540351417684673e-05,3
0.63,6.555540322396704e-05,3
0.64,6.570729227108735e-05,3
0.65,6.590409982366904e-05,3
0.66,6.61188747784353e-05,3
0.67,6.633364973320156e-05,3
0.68,6.657206959538512e-05,3
0.6900000000000001,6.695235890207252e-05,3
0.7000000000000001,6.733264820875993e-05,3
0.71,6.771293751544735e-05,3
0.72,6.834715440591793e-05,3
0.73,6.917181698422588e-05,3
0.74,6.999647956253383e-05,3
0.75,7.08211421408418e-05,3
0.76,7.083345401945126e-05,3
0.77,7.084576589806073e-05,3
0.78,7.085807777667019e-05,3
0.79,7.135528934966863e-05,3
0.8,7.249903384851901e-05,3
0.81,7.36427783473694e-05,3
0.8200000000000001,7.478652284621978e-05,3
0.8300000000000001,7.514462038028147e-05,3
0.84,7.537177675354504e-05,3
0.85,7.559893312680859e-05,3
0.86,7.576474842255379e-05,3
0.87,7.577721102450306e-05,3
0.88,7.578967362645235e-05,3
0.89,7.580213622840162e-05,3
0.9,7.617768684276021e-05,3
0.91,7.669847266208252e-05,3
0.92,7.721925848140483e-05,3
0.93,7.771417233875871e-05,3
0.9400000000000001,7.805385442430206e-05,3
0.9500000000000001,7.839353650984541e-05,3
0.96,7.873321859538876e-05,3
0.97,0.00011992953131904643,3
0.98,0.00019176831702128914,3
0.99,0.00026360710272353276,3
1.0,0.0003354458884257764,3
