cdf,prefill_time_execution_plus_preemption_normalized,replica
0.55,5.5130918328546374e-05,2
0.56,5.5130918328546374e-05,2
0.5700000000000001,5.5130918328546374e-05,2
0.58,5.594809750864546e-05,2
0.59,5.6901473218761075e-05,2
0.6,5.785484892887669e-05,2
0.61,5.7924516376554624e-05,2
0.62,5.799418382423256e-05,2
0.63,5.80757818123324e-05,2
0.64,5.8228963042963605e-05,2
0.65,5.838214427359482e-05,2
0.66,5.8779518344410235e-05,2
0.67,5.978737451568617e-05,2
0.68,6.0795230686962096e-05,2
0.6900000000000001,6.139685195980226e-05,2
0.7000000000000001,6.145682670139472e-05,2
0.71,6.15168014429872e-05,2
0.72,6.249078694374744e-05,2
0.73,6.415028051388353e-05,2
0.74,6.58097740840196e-05,2
0.75,6.643316264257589e-05,2
0.76,6.664210919650022e-05,2
0.77,6.685105575042457e-05,2
0.78,6.704346330112644e-05,2
0.79,6.723311435129122e-05,2
0.8,6.742276540145602e-05,2
0.81,6.762663077775045e-05,2
0.8200000000000001,6.783049615404487e-05,2
0.8300000000000001,6.80437786226845e-05,2
0.84,6.83135636453954e-05,2
0.85,6.858334866810627e-05,2
0.86,6.912475296258266e-05,2
0.87,7.034520543647288e-05,2
0.88,7.156565791036311e-05,2
0.89,7.291414168428725e-05,2
0.9,7.443333385825666e-05,2
0.91,7.595252603222606e-05,2
0.92,7.749813109763277e-05,2
0.93,7.906354583161748e-05,2
0.9400000000000001,8.062896056560214e-05,2
0.9500000000000001,8.158629018226995e-05,2
0.96,8.2300385752011e-05,2
0.97,8.301448132175203e-05,2
0.98,8.342996982888516e-05,2
0.99,8.37956904922503e-05,2
1.0,8.416141115561544e-05,2
0.0,3.014049235855204e-05,3
0.01,3.178514045319006e-05,3
0.02,3.342978854782808e-05,3
0.03,3.5074436642466104e-05,3
0.04,3.619854509274371e-05,3
0.05,3.662860068387409e-05,3
0.06,3.705865627500447e-05,3
0.07,3.748871186613485e-05,3
0.08,3.755345336361565e-05,3
0.09,3.755730917882151e-05,3
0.1,3.7561164994027374e-05,3
0.11,3.757487787393113e-05,3
0.12,3.7613233415579624e-05,3
0.13,3.765158895722811e-05,3
0.14,3.76899444988766e-05,3
0.15,3.777982304484968e-05,3
0.16,3.7890310792552594e-05,3
0.17,3.80007985402555e-05,3
0.18,3.8099326031362446e-05,3
0.19,3.8126091982893565e-05,3
0.2,3.8152857934424685e-05,3
0.21,3.81796238859558e-05,3
0.22,3.9081072052927177e-05,3
0.23,4.063853188147874e-05,3
0.24,4.2195991710030304e-05,3
0.25,4.375345153858187e-05,3
0.26,4.439257015264255e-05,3
0.27,4.5031688766703234e-05,3
0.28,4.567080738076392e-05,3
0.29,4.637492737008579e-05,3
0.3,4.716571585975593e-05,3
0.31,4.795650434942606e-05,3
0.32,4.8747292839096206e-05,3
0.33,4.943197614457146e-05,3
0.34,5.009897525268091e-05,3
0.35000000000000003,5.0765974360790354e-05,3
0.36,5.128474544567562e-05,3
0.37,5.143294647250042e-05,3
0.38,5.158114749932522e-05,3
0.39,5.1729348526150024e-05,3
0.4,5.251860068672467e-05,3
0.41000000000000003,5.356427330079925e-05,3
0.42,5.4609945914873846e-05,3
0.43,5.552647240613607e-05,3
0.44,5.566812216052414e-05,3
0.45,5.58097719149122e-05,3
0.46,5.5951421669300266e-05,3
0.47000000000000003,5.625395824578802e-05,3
0.48,5.667715993885054e-05,3
0.49,5.710036163191306e-05,3
0.5,5.752356332497558e-05,3
0.51,5.827999577107423e-05,3
0.52,5.903642821717288e-05,3
0.53,5.9792860663271526e-05,3
0.54,6.0384331726208985e-05,3
0.55,6.075585427826487e-05,3
0.56,6.112737683032074e-05,3
0.5700000000000001,6.149889938237662e-05,3
0.58,6.166293423716253e-05,3
0.59,6.17923878090701e-05,3
0.6,6.192184138097769e-05,3
0.61,6.201822542662732e-05,3
0.62,6.203193565663209e-05,3
0.63,6.204564588663688e-05,3
0.64,6.205935611664165e-05,3
0.65,6.228500303427309e-05,3
0.66,6.259542462695516e-05,3
0.67,6.290584621963724e-05,3
0.68,6.325337412605213e-05,3
0.6900000000000001,6.382353991486377e-05,3
0.7000000000000001,6.43937057036754e-05,3
0.71,6.496387149248706e-05,3
0.72,6.541775054591294e-05,3
0.73,6.57844145477995e-05,3
0.74,6.615107854968607e-05,3
0.75,6.651774255157263e-05,3
0.76,6.680583439015385e-05,3
0.77,6.709392622873507e-05,3
0.78,6.738201806731629e-05,3
0.79,6.757623743525825e-05,3
0.8,6.764529350901456e-05,3
0.81,6.771434958277086e-05,3
0.8200000000000001,6.778340565652717e-05,3
0.8300000000000001,6.851995992934193e-05,3
0.84,6.936776390199978e-05,3
0.85,7.021556787465762e-05,3
0.86,7.115144396297318e-05,3
0.87,7.230750034043304e-05,3
0.88,7.34635567178929e-05,3
0.89,7.461961309535275e-05,3
0.9,7.511216946981525e-05,3
0.91,7.53393258430788e-05,3
0.92,7.556648221634237e-05,3
0.93,7.576296805084674e-05,3
0.9400000000000001,7.577543065279603e-05,3
0.9500000000000001,7.57878932547453e-05,3
0.96,7.580035585669459e-05,3
0.97,7.629739291745323e-05,3
0.98,7.715786082231888e-05,3
0.99,7.801832872718454e-05,3
1.0,7.88787966320502e-05,3
