cdf,request_e2e_time_normalized,replica
0.8200000000000001,0.012598415755777215,1
0.8300000000000001,0.0127016508464826,1
0.84,0.012894193103675285,1
0.85,0.013131388944111626,1
0.86,0.013368584784547966,1
0.87,0.013609828583955005,1
0.88,0.013859168301303447,1
0.89,0.01410850801865189,1
0.9,0.014357847736000334,1
0.91,0.014470613246394037,1
0.92,0.014583378756787741,1
0.93,0.014696144267181445,1
0.9400000000000001,0.015521349916151722,1
0.9500000000000001,0.016702775634410298,1
0.96,0.017884201352668855,1
0.97,0.01907236527829315,1
0.98,0.020274005618648883,1
0.99,0.021475645959004617,1
1.0,0.02267728629936035,1
0.0,0.00979397938560842,2
0.01,0.009795400270172719,2
0.02,0.009796821154737019,2
