cdf,request_e2e_time,replica
0.8200000000000001,5.340815684531617,0
0.8300000000000001,5.360802945671109,0
0.84,5.404160711344989,0
0.85,5.605269382625989,0
0.86,5.806378053906991,0
0.87,6.0074867251879915,0
0.88,6.157035948990116,0
0.89,6.301060946276646,0
0.9,6.445085943563177,0
0.91,6.493546147299579,0
0.92,6.496499306488303,0
0.93,6.499452465677027,0
0.9400000000000001,6.533091516807402,0
0.9500000000000001,6.603992008152639,0
0.96,6.674892499497877,0
0.97,6.771722747685441,0
0.98,6.957455019332411,0
0.99,7.143187290979383,0
1.0,7.3289195626263535,0
0.0,0.06803185889808105,1
0.01,0.13284060790114155,1
0.02,0.19764935690420202,1
0.03,0.2624581059072625,1
0.04,0.306212405562276,1
0.05,0.3394394805432661,1
0.06,0.37266655552425615,1
0.07,0.39984547294202566,1
0.08,0.41492807523335384,1
0.09,0.4300106775246821,1
0.1,0.4450932798160103,1
0.11,0.45250349938146817,1
0.12,0.45991371894692606,1
0.13,0.4673239385123839,1
0.14,0.4743130600547758,1
0.15,0.4810916325856347,1
0.16,0.4878702051164936,1
0.17,0.4954314199182484,1
0.18,0.5045579192617949,1
0.19,0.5136844186053416,1
0.2,0.5228109179488882,1
0.21,0.5958138737862995,1
0.22,0.6688168296237108,1
0.23,0.7418197854611223,1
0.24,0.8062376342189905,1
0.25,0.8663629294370878,1
0.26,0.9264882246551851,1
0.27,1.0541779180409505,1
0.28,1.3169964077620482,1
0.29,1.5798148974831456,1
0.3,1.8426333872042449,1
0.31,1.895906977366221,1
0.32,1.9491805675281966,1
0.33,2.0024541576901727,1
0.34,2.150657920468624,1
0.35000000000000003,2.3463267695553114,1
0.36,2.541995618641999,1
0.37,2.685380019957445,1
0.38,2.724195525730406,1
0.39,2.7630110315033662,1
0.4,2.8018265372763267,1
0.41000000000000003,2.9035437629658727,1
0.42,3.005260988655419,1
0.43,3.106978214344966,1
0.44,3.218935523513602,1
0.45,3.336012874421783,1
0.46,3.4530902253299645,1
